"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"463","118","96","118.96",0.000174840458082,"M","F","MF",5400
"464","118","97","118.97",0,"M","F","MF",5400
"465","118","uk2","118.uk2",0,"M","U",NA,5400
"466","119","103","119.103",0,"M","F","MF",5400
"467","119","104","119.104",0.0161290322580645,"M","M","MM",5400
"468","119","105","119.105",0.0161290322580645,"M","F","MF",5400
"469","119","106","119.106",0,"M","M","MM",5400
"470","119","107","119.107",0,"M","F","MF",5400
"471","119","108","119.108",0,"M","M","MM",5400
"472","119","109","119.109",0,"M","M","MM",5400
"473","119","110","119.110",0,"M","M","MM",5400
"474","119","111","119.111",0,"M","M","MM",5400
"475","119","112","119.112",0,"M","F","MF",5400
"476","119","113","119.113",0,"M","M","MM",5400
"477","119","114","119.114",0,"M","M","MM",5400
"478","119","115","119.115",0,"M","F","MF",5400
"479","119","116","119.116",0,"M","M","MM",5400
"480","119","118","119.118",0,"M","M","MM",5400
"481","119","120","119.120",0,"M","M","MM",5400
"482","119","121","119.121",0,"M","M","MM",5400
"483","119","122","119.122",0,"M","F","MF",5400
"484","119","123","119.123",0,"M","F","MF",5400
"485","119","124","119.124",0,"M","F","MF",5400
"486","119","125","119.125",0,"M","M","MM",5400
"487","119","126","119.126",0,"M","M","MM",5400
"488","119","127","119.127",0,"M","F","MF",5400
"489","119","129","119.129",0,"M","M","MM",5400
"490","119","92","119.92",0,"M","M","MM",5400
"491","119","93","119.93",0,"M","M","MM",5400
"492","119","94","119.94",0,"M","F","MF",5400
"493","119","95","119.95",0,"M","F","MF",5400
"494","119","96","119.96",0,"M","F","MF",5400
"495","119","97","119.97",0,"M","F","MF",5400
"496","119","uk2","119.uk2",0,"M","U",NA,5400
"497","120","103","120.103",0,"M","F","MF",5400
"498","120","104","120.104",0,"M","M","MM",5400
"499","120","105","120.105",0,"M","F","MF",5400
"500","120","106","120.106",0,"M","M","MM",5400
"501","120","107","120.107",0,"M","F","MF",5400
"502","120","108","120.108",0,"M","M","MM",5400
"503","120","109","120.109",0,"M","M","MM",5400
"504","120","110","120.110",0,"M","M","MM",5400
"505","120","111","120.111",0,"M","M","MM",5400
"506","120","112","120.112",0,"M","F","MF",5400
"507","120","113","120.113",0,"M","M","MM",5400
"508","120","114","120.114",0,"M","M","MM",5400
